name,industry,category,price,user_rating,user_reviews,price_band,rating_tier
Classic Espresso Drinks,Coffee,Venti Nonfat Milk,170.0,150.0,23,Luxury ($101-250),Top Rated (4.5-5)
Classic Espresso Drinks,Coffee,Venti Nonfat Milk,160.0,150.0,21,Luxury ($101-250),Top Rated (4.5-5)
Classic Espresso Drinks,Coffee,Venti Nonfat Milk,110.0,150.0,14,Luxury ($101-250),Top Rated (4.5-5)
Classic Espresso Drinks,Coffee,Venti Nonfat Milk,280.0,180.0,44,Ultra ($250+),Top Rated (4.5-5)
Coffee,Coffee,Grande,5.0,330.0,0,Budget ($0-25),Top Rated (4.5-5)
Coffee,Coffee,Short,3.0,175.0,0,Budget ($0-25),Top Rated (4.5-5)
Coffee,Coffee,Tall,4.0,260.0,0,Budget ($0-25),Top Rated (4.5-5)
Coffee,Coffee,Venti,5.0,410.0,0,Budget ($0-25),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Grande Nonfat Milk,220.0,70.0,50,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Grande Nonfat Milk,310.0,110.0,62,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Grande Nonfat Milk,260.0,110.0,58,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Grande Nonfat Milk,280.0,100.0,59,Ultra ($250+),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Soymilk,220.0,95.0,47,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Soymilk,220.0,75.0,42,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Soymilk,180.0,70.0,39,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Soymilk,180.0,70.0,38,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Soymilk,160.0,70.0,34,Luxury ($101-250),Top Rated (4.5-5)
Frappuccino® Blended Coffee,Coffee,Soymilk,430.0,145.0,80,Ultra ($250+),Top Rated (4.5-5)
